,Name,Ranks,Points,PrevPoints,RankChange,CurrentYear_Avg,CurrentYear_WtAvg,Year1_Avg,Year1_WtAvg,Year2_Avg,Year2_WtAvg,Year3_Avg,Year3_WtAvg
0,Brazil,1,0(0),814,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,France,2,0(0),797,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Argentina,3,0(0),771,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Italy,4,0(0),735,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,Portugal,5,0(0),738,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,Czech Republic,6,0(0),734,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Spain,7,0(0),727,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,Germany,8,0(0),698,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Paraguay,9,0(0),703,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,Netherlands,10,0(0),702,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,Yugoslavia,11,0(0),701,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,Romania,12,0(0),680,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,Mexico,13,0(0),684,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,England,14,0(0),659,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Colombia,15,0(0),667,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,Norway,16,0(0),670,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Croatia,17,0(0),656,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,USA,18,0(0),655,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,Sweden,19,0(0),629,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,Russia,20,0(0),639,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,Denmark,21,0(0),619,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,South Africa,22,0(0),631,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,Poland,23,0(0),595,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,Scotland,24,0(0),606,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
