,Name,Ranks,Points,PrevPoints,RankChange,CurrentYear_Avg,CurrentYear_WtAvg,Year1_Avg,Year1_WtAvg,Year2_Avg,Year2_WtAvg,Year3_Avg,Year3_WtAvg
0,Netherlands,1,1596(1596.13),1542,1,748.05,748.05,976.46,488.23,740.63,222.19,688.31,137.66
1,Spain,2,1563(1563.45),1588,-1,589.59,589.59,1074.04,537.02,796.81,239.04,989.00,197.80
2,Germany,3,1330(1329.86),1305,0,617.83,617.83,860.14,430.07,504.02,151.21,653.74,130.75
3,England,4,1177(1176.88),1146,2,588.08,588.08,620.77,310.38,629.50,188.85,447.85,89.57
4,Uruguay,5,1174(1174.34),1156,0,599.26,599.26,756.29,378.15,415.70,124.71,361.09,72.22
5,Brazil,6,1156(1156.01),1202,-2,386.00,386.00,756.76,378.38,968.33,290.50,505.63,101.13
6,Italy,7,1110(1109.8),1059,1,626.23,626.23,422.28,211.14,491.35,147.41,625.10,125.02
7,Portugal,8,1060(1059.87),1076,-1,516.05,516.05,689.43,344.71,316.52,94.96,520.75,104.15
8,Argentina,9,1017(1016.96),1012,1,383.75,383.75,760.19,380.10,517.68,155.30,489.04,97.81
9,Croatia,10,1009(1008.72),1033,-1,569.70,569.70,328.35,164.18,468.63,140.59,671.23,134.25
10,Chile,11,960(959.85),974,0,447.07,447.07,572.30,286.15,530.81,159.24,336.95,67.39
11,Norway,12,943(942.86),972,0,540.10,540.10,463.18,231.59,335.05,100.52,353.25,70.65
12,Russia,13,940(940.15),915,4,429.93,429.93,410.06,205.03,611.79,183.54,608.27,121.65
13,Greece,14,937(936.61),959,-1,443.31,443.31,491.60,245.80,510.89,153.27,471.14,94.23
14,Japan,15,918(918.4),924,-1,533.87,533.87,392.99,196.49,401.98,120.60,337.20,67.44
15,Côte d'Ivoire,15,918(918.48),922,0,484.37,484.37,441.74,220.87,446.15,133.85,396.97,79.39
16,France,15,918(918.43),920,1,514.63,514.63,372.80,186.40,496.94,149.08,341.61,68.32
17,Sweden,18,889(888.8),884,1,523.93,523.93,407.87,203.94,331.07,99.32,308.03,61.61
18,Montenegro,19,875(874.67),915,-2,617.00,617.00,272.38,136.19,280.25,84.08,187.00,37.40
19,Mexico,20,864(863.77),868,0,474.22,474.22,404.42,202.21,444.27,133.28,270.28,54.06
20,Denmark,21,841(841.24),857,0,432.28,432.28,356.98,178.49,551.78,165.53,324.68,64.94
21,Australia,22,837(837.35),834,0,377.88,377.88,442.57,221.28,573.01,171.90,331.46,66.29
22,Slovenia,23,816(815.76),833,0,323.25,323.25,657.76,328.88,389.17,116.75,234.39,46.88
23,Turkey,24,811(811.2),820,0,407.97,407.97,385.49,192.74,311.02,93.31,585.89,117.18
24,Paraguay,25,807(807.4),804,1,310.02,310.02,561.87,280.94,437.54,131.26,425.88,85.18
25,Peru,26,806(805.72),805,-1,448.07,448.07,550.70,275.35,149.45,44.84,187.31,37.46
26,Slovakia,26,806(806.45),779,3,395.45,395.45,504.70,252.35,449.59,134.88,118.86,23.77
27,USA,28,791(791.44),777,2,335.41,335.41,430.01,215.01,597.61,179.28,308.68,61.74
28,Serbia,29,784(784.3),798,-2,330.81,330.81,470.32,235.16,532.36,159.71,293.09,58.62
29,Switzerland,30,757(757.44),777,0,261.93,261.93,535.87,267.93,577.78,173.33,271.26,54.25
30,Republic of Ireland,31,754(753.77),752,2,398.31,398.31,350.11,175.06,419.48,125.84,272.79,54.56
31,Israel,32,746(746.31),771,0,368.25,368.25,322.08,161.04,411.18,123.35,468.33,93.67
32,Korea Republic,33,745(744.91),785,-5,418.96,418.96,338.19,169.09,357.67,107.30,247.78,49.56
33,Egypt,34,739(738.65),735,0,192.91,192.91,681.50,340.75,361.91,108.57,482.10,96.42
34,Colombia,35,730(729.58),706,0,363.82,363.82,412.91,206.45,284.27,85.28,370.16,74.03
35,Ghana,36,726(725.67),696,0,274.43,274.43,482.66,241.33,361.76,108.53,506.90,101.38
36,Belgium,37,675(674.52),691,0,398.00,398.00,315.58,157.79,222.43,66.73,260.00,52.00
37,Nigeria,38,659(659.05),634,5,273.06,273.06,406.03,203.02,357.89,107.37,378.00,75.60
38,Bosnia and Herzegovina,39,656(655.99),642,2,405.20,405.20,221.22,110.61,441.94,132.58,38.00,7.60
39,Burkina Faso,40,646(646.12),661,-1,287.79,287.79,389.56,194.78,344.19,103.26,301.45,60.29
40,Belarus,41,645(645.1),636,1,430.12,430.12,213.88,106.94,171.13,51.34,283.51,56.70
41,Czech Republic,42,635(635.33),670,-4,244.95,244.95,346.28,173.14,312.34,93.70,617.69,123.54
42,Jamaica,43,623(622.76),632,1,410.83,410.83,157.95,78.98,333.82,100.15,164.01,32.80
43,Venezuela,44,615(615.3),648,-4,332.80,332.80,253.43,126.71,339.07,101.72,270.35,54.07
44,Hungary,45,613(612.8),603,2,348.14,348.14,174.22,87.11,385.72,115.72,309.14,61.83
45,Algeria,46,612(612.36),575,6,223.59,223.59,387.06,193.53,497.89,149.37,229.34,45.87
46,South Africa,47,602(601.81),597,2,343.57,343.57,285.70,142.85,239.01,71.70,218.43,43.69
47,Ukraine,48,598(598.43),620,-3,177.52,177.52,466.60,233.30,456.05,136.82,253.95,50.79
48,Senegal,49,591(590.56),619,-3,425.82,425.82,142.74,71.37,105.54,31.66,308.55,61.71
49,Honduras,50,589(589.09),592,1,281.32,281.32,223.33,111.66,486.29,145.89,251.11,50.22
50,Bulgaria,51,586(585.57),598,-3,269.59,269.59,195.86,97.93,360.39,108.12,549.63,109.93
51,Cameroon,52,582(581.94),595,-2,219.93,219.93,327.59,163.80,299.44,89.83,541.88,108.38
52,IR Iran,53,559(558.99),564,1,312.78,312.78,232.73,116.37,244.72,73.42,282.08,56.42
53,Romania,54,558(557.73),571,-1,261.25,261.25,228.51,114.25,296.83,89.05,465.92,93.18
