,Name,Ranks,Points,PrevPoints,RankChange,CurrentYear_Avg,CurrentYear_WtAvg,Year1_Avg,Year1_WtAvg,Year2_Avg,Year2_WtAvg,Year3_Avg,Year3_WtAvg
0,Brazil,1,0(0),838,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Czech Republic,2,0(0),768,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,France,3,0(0),770,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Spain,4,0(0),758,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,Germany,5,0(0),739,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,Argentina,6,0(0),715,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Norway,7,0(0),715,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,Romania,8,0(0),714,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Croatia,9,0(0),719,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,Mexico,10,0(0),704,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,Denmark,11,0(0),682,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,England,12,0(0),703,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,Yugoslavia,13,0(0),691,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,Italy,14,0(0),697,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Portugal,15,0(0),674,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,Sweden,16,0(0),670,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Paraguay,17,0(0),645,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,Russia,18,0(0),641,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,Netherlands,19,0(0),656,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,Scotland,20,0(0),617,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,Slovakia,21,0(0),634,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,USA,22,0(0),623,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,Chile,23,0(0),618,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,Morocco,24,0(0),611,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,Colombia,25,0(0),611,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,Israel,26,0(0),609,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,Ukraine,27,0(0),608,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,Austria,28,0(0),609,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,Turkey,29,0(0),584,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,South Africa,30,0(0),592,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,Tunisia,31,0(0),597,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,Poland,32,0(0),589,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,Belgium,33,0(0),593,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,Greece,34,0(0),582,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,Republic of Ireland,35,0(0),572,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,Zambia,36,0(0),576,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,Bulgaria,37,0(0),571,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,Egypt,38,0(0),560,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,Saudi Arabia,39,0(0),559,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,Slovenia,40,0(0),544,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,Jamaica,41,0(0),544,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,Peru,42,0(0),540,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,Iceland,43,0(0),533,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,Trinidad and Tobago,44,0(0),554,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44,Hungary,45,0(0),536,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45,Uruguay,46,0(0),546,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,Switzerland,47,0(0),529,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,Ghana,48,0(0),505,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,IR Iran,49,0(0),539,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,Lithuania,50,0(0),527,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,Korea Republic,51,0(0),551,-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,Angola,52,0(0),516,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,Côte d'Ivoire,53,0(0),526,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
53,United Arab Emirates,54,0(0),480,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54,Uzbekistan,55,0(0),438,24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55,Finland,56,0(0),509,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56,Japan,57,0(0),517,-5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57,Cameroon,58,0(0),505,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
58,Congo DR,59,0(0),0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
59,Thailand,60,0(0),485,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60,Bolivia,61,0(0),500,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
61,Latvia,62,0(0),488,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,Cyprus,63,0(0),498,-5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,Costa Rica,64,0(0),471,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,Ecuador,65,0(0),487,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,Georgia,66,0(0),483,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66,Zimbabwe,67,0(0),472,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67,FYR Macedonia,68,0(0),484,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,Honduras,69,0(0),443,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69,Estonia,70,0(0),452,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,Burkina Faso,71,0(0),461,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71,Mali,72,0(0),453,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72,Guatemala,73,0(0),455,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
73,Gabon,74,0(0),445,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74,Bosnia and Herzegovina,75,0(0),447,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
75,Nigeria,76,0(0),434,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,Cuba,77,0(0),444,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77,Iraq,78,0(0),441,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78,Senegal,79,0(0),434,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
79,Namibia,80,0(0),433,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80,Canada,81,0(0),435,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81,Kuwait,82,0(0),475,-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82,Albania,83,0(0),427,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83,Northern Ireland,84,0(0),435,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84,Armenia,85,0(0),426,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85,Algeria,86,0(0),426,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
86,Togo,87,0(0),420,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
87,China PR,88,0(0),493,-28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88,Australia,89,0(0),432,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
89,Indonesia,90,0(0),393,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90,Guinea,91,0(0),415,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91,Oman,92,0(0),412,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92,Moldova,93,0(0),401,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
93,Congo,94,0(0),378,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
94,Belarus,95,0(0),395,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
95,El Salvador,96,0(0),399,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
96,Azerbaijan,97,0(0),389,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
97,Wales,98,0(0),401,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
