,Name,Ranks,Points,PrevPoints,RankChange,CurrentYear_Avg,CurrentYear_WtAvg,Year1_Avg,Year1_WtAvg,Year2_Avg,Year2_WtAvg,Year3_Avg,Year3_WtAvg
0,Brazil,1,0(0),842,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,France,2,0(0),791,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Argentina,3,0(0),785,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Czech Republic,4,0(0),777,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,Spain,5,0(0),764,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,Netherlands,6,0(0),757,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Mexico,6,0(0),753,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,England,8,0(0),751,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Portugal,9,0(0),747,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,Italy,10,0(0),738,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,USA,11,0(0),726,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,Republic of Ireland,12,0(0),716,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,Sweden,13,0(0),715,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,Greece,13,0(0),706,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Denmark,15,0(0),711,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,Turkey,15,0(0),711,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Germany,17,0(0),710,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,Uruguay,18,0(0),707,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,Japan,18,0(0),703,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,IR Iran,20,0(0),695,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,Korea Republic,21,0(0),689,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,Nigeria,21,0(0),689,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,Cameroon,23,0(0),676,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,Croatia,23,0(0),676,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,Poland,25,0(0),671,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,Colombia,26,0(0),670,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,Costa Rica,27,0(0),668,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,Romania,28,0(0),664,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,Paraguay,29,0(0),661,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,Saudi Arabia,30,0(0),657,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,Senegal,31,0(0),657,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,Egypt,32,0(0),648,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,Russia,32,0(0),651,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,Morocco,34,0(0),646,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,Norway,35,0(0),632,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,Tunisia,36,0(0),633,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,Ecuador,37,0(0),616,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,Finland,38,0(0),607,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,Bulgaria,39,0(0),623,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,South Africa,40,0(0),621,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,Jordan,41,0(0),611,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,Côte d'Ivoire,41,0(0),610,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,Slovenia,43,0(0),608,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,Belgium,44,0(0),600,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44,Iraq,44,0(0),600,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45,Serbia and Montenegro,46,0(0),599,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,Jamaica,46,0(0),598,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,Uzbekistan,48,0(0),598,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,Ukraine,49,0(0),580,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,Switzerland,49,0(0),589,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,Israel,51,0(0),595,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,Bahrain,52,0(0),592,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,Mali,53,0(0),589,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
53,Slovakia,54,0(0),587,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54,China PR,55,0(0),585,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55,Kuwait,56,0(0),584,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56,Oman,57,0(0),583,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57,Honduras,58,0(0),574,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
58,Australia,58,0(0),576,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
59,Zimbabwe,60,0(0),572,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60,Venezuela,61,0(0),562,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
61,Trinidad and Tobago,62,0(0),568,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,Libya,63,0(0),566,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,Belarus,64,0(0),554,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,Wales,65,0(0),554,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,Hungary,65,0(0),562,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66,Qatar,67,0(0),561,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67,Latvia,67,0(0),560,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,Peru,69,0(0),557,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69,Guatemala,70,0(0),554,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,Cuba,71,0(0),549,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71,Zambia,71,0(0),552,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72,Angola,73,0(0),545,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
73,Chile,74,0(0),533,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74,Algeria,75,0(0),538,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
75,Congo DR,76,0(0),527,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,Kenya,77,0(0),533,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77,Bosnia and Herzegovina,78,0(0),526,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78,Ghana,79,0(0),528,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
79,Estonia,80,0(0),525,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80,Thailand,80,0(0),525,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81,Austria,82,0(0),522,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82,United Arab Emirates,83,0(0),521,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83,Burkina Faso,84,0(0),519,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84,Canada,85,0(0),512,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85,Syria,86,0(0),516,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
86,Albania,87,0(0),515,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
87,Scotland,87,0(0),515,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88,Guinea,87,0(0),514,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
89,Togo,90,0(0),513,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90,Haiti,91,0(0),501,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91,Indonesia,92,0(0),505,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92,FYR Macedonia,93,0(0),497,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
93,Iceland,94,0(0),494,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
94,Korea DPR,95,0(0),480,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
95,Turkmenistan,96,0(0),478,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
96,Bolivia,97,0(0),484,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
97,New Zealand,98,0(0),481,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
98,Rwanda,99,0(0),479,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99,Lithuania,100,0(0),472,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100,Panama,101,0(0),469,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
101,Vietnam,102,0(0),465,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
102,Georgia,102,0(0),455,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
103,Singapore,104,0(0),460,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
