,Name,Ranks,Points,PrevPoints,RankChange,CurrentYear_Avg,CurrentYear_WtAvg,Year1_Avg,Year1_WtAvg,Year2_Avg,Year2_WtAvg,Year3_Avg,Year3_WtAvg
0,France,1,0(0),812,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Argentina,2,0(0),802,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Brazil,3,0(0),793,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Portugal,4,0(0),741,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,Colombia,5,0(0),739,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,Italy,6,0(0),734,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Spain,7,0(0),730,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,Netherlands,8,0(0),722,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Mexico,9,0(0),714,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,England,10,0(0),712,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,Yugoslavia,11,0(0),710,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,Germany,12,0(0),707,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,Paraguay,13,0(0),691,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,Czech Republic,14,0(0),689,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Romania,15,0(0),688,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,Sweden,16,0(0),676,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Denmark,17,0(0),672,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,Republic of Ireland,18,0(0),672,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,Croatia,19,0(0),668,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,Belgium,20,0(0),666,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,Russia,21,0(0),665,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,Uruguay,22,0(0),664,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,Turkey,23,0(0),663,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,USA,24,0(0),662,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,Honduras,25,0(0),650,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,Norway,26,0(0),650,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,Slovenia,27,0(0),650,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,Tunisia,28,0(0),648,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,IR Iran,29,0(0),642,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,Costa Rica,30,0(0),635,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,Poland,31,0(0),629,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,Saudi Arabia,32,0(0),632,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,South Africa,33,0(0),626,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,Trinidad and Tobago,34,0(0),630,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,Japan,35,0(0),626,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,Morocco,36,0(0),623,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,Cameroon,37,0(0),609,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,Ecuador,38,0(0),613,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,Chile,39,0(0),604,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,Nigeria,40,0(0),604,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,Egypt,41,0(0),602,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,Korea Republic,42,0(0),599,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,Peru,43,0(0),598,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,Côte d'Ivoire,44,0(0),596,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44,Ukraine,45,0(0),593,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45,Finland,46,0(0),588,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,Slovakia,47,0(0),588,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,Australia,48,0(0),586,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,Israel,49,0(0),583,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,Scotland,50,0(0),577,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,Bulgaria,51,0(0),576,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,Iceland,52,0(0),569,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,Jamaica,53,0(0),567,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
53,Angola,54,0(0),564,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54,China PR,55,0(0),565,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
